Location,Total views,latitude,longitude
Washington DC-Baltimore Area,191,38.8950368,-77.0365427
Atlanta Metropolitan Area,52,33.7544657,-84.3898151
"Athens Metropolitan Area, Greece",11,37.9755648,23.7348324
Miami-Fort Lauderdale Area,42,25.7741566,-80.1935973
Greater Chicago Area,129,41.7580415,-87.6154849
"Galway Metropolitan Area, Ireland",14,53.2744122,-9.0490601
"Greater Ahmedabad Area, India",19,23.0215374,72.5800568
"Greater Delhi Area, India",25,28.5430604,77.2399038
"The Randstad, Netherlands, Netherlands",16,52.3730796,4.8924534
Nashville Metropolitan Area,34,43.8408589,-79.663904
Foxborough (Foxboro),10,42.0953545,-71.2616265
"Greater Montreal Metropolitan Area, Canada",18,43.6635267,-79.7990719
Greater Seattle Area,48,47.5537677,-122.2809642
"Greater Munich Metropolitan Area, Germany",24,48.1371079,11.5753822
San Francisco Bay Area,331,37.7884969,-122.3558473
"Greater Edmonton Metropolitan Area, Canada",10,53.53396,-113.9737805
Greater Houston,64,29.797687,-95.3984463
"Greater Paris Metropolitan Region, France",26,48.8588897,2.320041
Los Angeles Metropolitan Area,158,-11.9602676,-77.0330491
"Givat Shmuel, Israel",14,32.0769463,34.8524656
Greater Hartford,19,41.7507971,-72.6843885
Buffalo-Niagara Falls Area,18,42.98121,-78.8875524
"Copenhagen Metropolitan Area, Denmark",23,55.6867243,12.5700724
Greater Boston,601,42.3588336,-71.0578303
Salt Lake City Metropolitan Area,12,40.7596198,-111.886797
"Singapore, Singapore",10,1.357107,103.8194992
"London Area, United Kingdom, United Kingdom",76,51.5074456,-0.1277653
"Greater Hyderabad Area, India",110,17.4144476,78.459518
"Greater Terni Metropolitan Area, Italy",16,42.6539486,12.4396528
"Hampton Roads, Virginia Metropolitan Area",22,36.9507552,-76.4114187
New York City Metropolitan Area,6594,43.7200322,-79.6010059
"Greater Chennai Area, India",12,13.0818961,80.271828
"Zürich Metropolitan Area, Switzerland",27,47.3744489,8.5410422
"Seoul Incheon Metropolitan Area, South Korea",28,37.588851,126.7632349
New Bern-Morehead City Area,10,35.1068428,-77.0398762
Dallas-Fort Worth Metroplex,21,32.7762719,-96.7968559
"Greater Barcelona Metropolitan Area, Spain",14,41.3825802,2.177073
"Amritsar/Ludhiana Area, India",11,31.6356659,74.8787496
Greater Philadelphia,192,39.9319146,-75.1958886
"Greater Melbourne Area, Australia",11,-37.8567914,144.8978474
Greater Madison Area,14,43.133715,-89.3108945
Ithaca,23,42.4374175,-76.5483724
Detroit Metropolitan Area,24,-12.0454349,-77.0691551
San Diego Metropolitan Area,75,-11.8288637,-77.0214999
Greater Jackson Area,10,53.4720314,-2.2551777
Greater Minneapolis-St. Paul Area,14,44.9344265,-93.2341967
"Brussels Metropolitan Area, Belgium",13,50.8465573,4.351697
Greater Pittsburgh Region,31,40.4406968,-80.0025666
Greater St. Louis,27,38.6644889,-90.2360477
Greater Tampa Bay Area,9,27.9455315,-82.4934816
"Tyneside Area, United Kingdom",13,55.0297994,-1.508256
"Greater Bengaluru Area, India",27,13.1743988,77.486305
"Greater Istanbul, Türkiye",11,41.006381,28.9758715
"Berlin Metropolitan Area, Germany",23,52.5173885,13.3951309
"Greater Vancouver Metropolitan Area, Canada",31,49.2618661,-122.9555509
"Austin, Texas Metropolitan Area",40,30.2711286,-97.7436995
"Cracow Metropolitan Area, Poland",8,50.0469432,19.9971534
"Greater Cambridge Area, United Kingdom",24,52.2055314,0.1186637
Greater Phoenix Area,20,33.3891363,-112.108746
Raleigh-Durham-Chapel Hill Area,59,35.7803977,-78.6390989
Greater Cleveland,11,41.4967468,-81.7038232
"Mumbai Metropolitan Region, India",28,19.0540416,72.8526086
"Cagayan De Oro City, Philippines",14,8.4860705,124.656805
"Greater Madrid Metropolitan Area, Spain",14,40.4099711,-3.7611368
"Greater Toronto Area, Canada, Canada",63,43.7565714,-79.4013336
